,"WARNING:  These products can expose you to chemicals including Styrene, which is known to the",,,,,,,
,"State of California to cause cancer, and 1,3-Butadiene, which is known to the State of California to cause",,,,,,,
,birth defects and other reproductive harm.  For more information go to www.P65warnings.ca.gov. ,,,,,,,
,"Products, specifications, prices and availability subject to change without notice.  Per the U.S. Consumer",,,,,,,
,"Product Safety Improvement Act of 2008, these products are not toys and are not intended for",,,,,,,
,"children under 14 years of age.  © 2022 PIKO America, LLC.",,,,,,,
,,,,,,,,
2022 PIKO America Retailer Cost List:    06-10-22,,,,,,,,
*MAP = Minimum Advertised Price  - See PIKO America MAP Policy for Info.,,,,,,,,
2022 New Items in Bold Text,,,,,,,,
,,,,,,,,
,,Remarks/New Items,,2022,2022,2022,,
Item #,Description,Estimated Arrival,,Ret.Cost,MSRP,MAP*,,EAN # (Bar Code)
,,,,,,,,
,CATALOGS & FLYERS,,,,,,,
35231,SB280 Tie Strip 280mm Order 25,Available,,$2.29,$3.79,$3.03,,4015615352310
35240,Crossing 30 Degree,Available,,$38.99,$64.99,$51.99,,4015615352402
35250,P3000 Rail 3m Order 20 (Freight Will Be Added ),Available,,$26.99,$44.99,$35.99,,4015615352501
35251,P1500 Rail 1.5m Order 20,Available,,$11.99,$19.99,$15.99,,4015615352518
35260,Switch Control Box,Available,,$59.99,$99.99,$79.99,,4015615352600
35261,On-Off Control Box,Available,,$59.99,$99.99,$79.99,,4015615352617
35265,Relay Contacts DPDT,Available,,$25.19,$41.99,$33.59,,4015615352655
35266,Switch Lantern,Available,,$11.99,$19.99,$15.99,,4015615352662
35267,Reed Switch Assembly,Available,,$13.49,$22.49,$17.99,,4015615352679
35268,Track Magnet,Available,,$5.29,$8.89,$7.11,,4015615352686
35269,Loco Magnet,Available,,$6.29,$10.49,$8.39,,4015615352693
35270,Power Clamp w/Wires 1 Pair,Available,,$9.29,$15.49,$12.39,,4015615352709
35271,Electric Switch Machine,Available,,$27.59,$45.99,$36.79,,4015615352716
35272,Track Contact,Available,,$14.09,$23.49,$18.79,,4015615352723
35280,Bumper,Available,,$7.49,$12.49,$9.99,,4015615352808
35281,Rerailer/Grade Crossing with Track,Available,,$29.99,$49.99,$39.99,,4015615352815
35282,Easy Railer Powered Rerailer,Available,,$77.99,$129.99,$103.99,,4015615352822
35285,Track Clips 14 Pcs,Available,,$4.49,$7.49,$5.99,,4015615352853
35290,SV Metal Rail Joiners 20 Pcs,Available,,$10.19,$16.99,$13.59,,4015615352907
35291,SWV Metal Tie Joiners 20 Pcs,Available,,$6.59,$10.99,$8.79,,4015615352914
35292,Insulated Rail Joiners 6 Pcs,Available,,$6.29,$10.49,$8.39,,4015615352921
35293,"RailClamp, On-Rail, 10 Pieces",Available,,$16.19,$26.99,$21.59,,4015615352938
35294,"RailClamp, Over-Joiner, 10 Pieces",Available,,$16.19,$26.99,$21.59,,4015615352945
35300,Station Track Set,Available,,$128.99,$214.99,$171.99,,4015615353003
35301,Siding Track Set,Available,,$86.99,$144.99,$115.99,,4015615353010
35302,Double Oval Track Set,Available,,$142.79,$237.99,$190.39,,4015615353027
35310,Track & Power Set,Available,,$170.99,$284.99,$227.99,,4015615353102
35400,"Black/White Cable,16AWG, 25m",Available,,$46.19,$76.99,$61.59,,4015615354000
35401,"Red/Blue Cable, 16AWG, 25m",Available,,$46.19,$76.99,$61.59,,4015615354017
35402,"Orange/White Cable, 16AWG, 25m",Available,,$46.19,$76.99,$61.59,,4015615354024
35411,"Track Cleaning Set - Block, Pads, Fluid",Available,,$86.99,$144.99,$115.99,,4015615354116
35412,"Track Cleaning Pad, 10 Pcs",Available,,$9.59,$15.99,$12.79,,4015615354123
35413,"Track Polishing Pad, 2 Pcs",Available,,$10.19,$16.99,$13.59,,4015615354130
35414,"Track Cleaning Fluid, 250ml",Available,,$39.59,$65.99,$52.79,,4015615354147
35416,"Track Cleaning Shoe, Clean Machine, 2 Sets",Available,,$10.79,$17.99,$14.39,,4015615354161
35420,"Screwdriver Set, 4 Pcs ",Available,,$39.59,$65.99,$52.79,,4015615354208
35421,Mini Hacksaw,Available,,$35.99,$59.99,$47.99,,4015615354215
,,,,,,,,
,AMERICAN LOCOS,,,,,,,
38209,D&RGW Mini-Mogul 215,Available,,$227.99,$379.99,$303.99,,4015615382096
38229,NYC Mogul Loco w/Sound,Available,,$419.99,$699.99,$559.99,,4015615382294
38231,PRR Mogul 889 w/Sound,Available,,$419.99,$699.99,$559.99,,4015615382317
38232,UP Mogul 1201 w/Sound,Available,,$419.99,$699.99,$559.99,,4015615382324
38233,SF Mogul Loco 704 w/Sound,Available,,$419.99,$699.99,$559.99,,4015615382331
38234,D&RGW Mogul Loco 214 w/Sound,Available,,$419.99,$699.99,$559.99,,4015615382348
38242,PRR Camelback 2-6-0 Loco 628 w/Sound,Available,,$425.99,$709.99,$567.99,,4015615382423
38250,PRR 2-6-0T Loco 825 w/Analog Sound,Available,,$218.99,$364.99,$291.99,,4015615382508
38506,Clean Machine R/C,Available,,$191.99,$319.99,$255.99,,4015615385066
38508,Clean Machine Green,Q4,,$155.99,$259.99,$207.99,,4015615385080
38509,SF 25-Ton Diesel Battery R/C w/Sound,Q4,,$269.99,$449.99,$359.99,,4015615385097
38510,PRR 25-Ton Diesel Battery R/C w/Sound,Available,,$269.99,$449.99,$359.99,,4015615385103
38511,US Army 25-Ton Diesel Battery R/C w/Sound,Q4,,$269.99,$449.99,$359.99,,4015615385110
38512,KLW Thumper 25-Ton Diesel Battery R/C w/Sound,Available,,$269.99,$449.99,$359.99,,4015615385127
,,,,,,,,
,AMERICAN CARS,,,,,,,
36302,Container 20' Undecorated White,Available,,$29.39,$48.99,$39.19,,4015615363026
36311,Ore Car Load,Available,,$8.99,$14.99,$11.99,,4015615363118
36312,2-Bay Hopper Car Load,Available,,$11.39,$18.99,$15.19,,4015615363125
